Category,Question,Bot Response,Language,Source
GBV Reporting,Where can I report sexual harassment?,"You can report to the police, call 1195, or reach NGOs like FIDA-Kenya for legal support.",English,Police / NGOs
Shelter,"Niko Nairobi, naweza pata wapi shelter?",Wasiliana na Usikimye au FIDA-Kenya kwa malazi salama na msaada wa kisheria Nairobi.,Kiswahili,NGO Directory
Emergency SOS,Mtu ananifuatilia,Kaa sehemu yenye watu na pigia 999 mara moja au piga simu ya bure 1195.,Kiswahili,Kenya GBV Helpline
Health,Naweza pata PEP wapi baada ya kubakwa?,Nenda hospitali ya umma au kituo cha GBV ndani ya masaa 72 na uombe PEP.,Kiswahili,MOH Kenya / NGOs
GBV Reporting,How do I report domestic violence?,"If safe, go to the nearest police station or call 999/1195. Keep medical records and file a P3 form.",English,Police / NGOs
Health,Where can I get PEP after sexual assault?,Visit the nearest public hospital or GBV recovery centre within 72 hours and request PEP treatment.,English,MOH Kenya / NGOs
Digital Safety,How do I secure my social media accounts?,"Use strong passwords, enable two-factor authentication, and avoid sharing personal details.",English,DCI Cybercrime Unit
Shelter,"Niko Nairobi, naweza pata wapi shelter?",Wasiliana na Usikimye au FIDA-Kenya kwa malazi salama na msaada wa kisheria Nairobi.,Kiswahili,NGO Directory
Digital Safety,How do I secure my social media accounts?,"Use strong passwords, enable two-factor authentication, and avoid sharing personal details.",English,DCI Cybercrime Unit
Shelter,Nairobi kuna safe house gani?,Cheki Usikimye au FIDA watakuchanua na shelter na msaada ya law.,Sheng,NGO Directory
Emergency SOS,"I am in danger, help me","If you are in immediate danger, call 999 (Kenya Police) or the GBV Helpline 1195.",English,Kenya GBV Helpline
Digital Safety,Nitalock aje account yangu Facebook?,"Tumia password ngumu, weka 2FA, na usishow details zako online.",Sheng,DCI Cybercrime Unit
Digital Safety,How do I secure my social media accounts?,"Use strong passwords, enable two-factor authentication, and avoid sharing personal details.",English,DCI Cybercrime Unit
Digital Safety,How do I secure my social media accounts?,"Use strong passwords, enable two-factor authentication, and avoid sharing personal details.",English,DCI Cybercrime Unit
Legal Rights,Is domestic violence a crime in Kenya?,"Yes, under the Protection Against Domestic Violence Act (2015), survivors can seek legal redress.",English,Kenyan Law
Health,"Nimekuwa victim wa GBV, naweza ongea na counselor?",Pigia 1195 ama enda NGO kama LVCT Health upate counseling.,Sheng,MOH Kenya / NGOs
